SiteID, 41993.0
Longitude, -98.338745
Latitude, 38.806438
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2012,11,1,0,0,1.989,0.0
2012,11,1,0,5,2.081,0.0
2012,11,1,0,10,2.169,0.0
2012,11,1,0,15,2.24,0.006
2012,11,1,0,20,2.3040000000000003,0.011
2012,11,1,0,25,2.353,0.014
2012,11,1,0,30,2.331,0.013000000000000001
2012,11,1,0,35,2.255,0.007
2012,11,1,0,40,2.23,0.005
2012,11,1,0,45,2.236,0.005
2012,11,1,0,50,2.249,0.006
2012,11,1,0,55,2.2760000000000002,0.008
2012,11,1,1,0,2.3040000000000003,0.011
2012,11,1,1,5,2.325,0.012
2012,11,1,1,10,2.334,0.013000000000000001
2012,11,1,1,15,2.3040000000000003,0.011
2012,11,1,1,20,2.267,0.008
2012,11,1,1,25,2.236,0.005
2012,11,1,1,30,2.212,0.004
2012,11,1,1,35,2.194,0.002
2012,11,1,1,40,2.169,0.0
2012,11,1,1,45,2.145,0.0
2012,11,1,1,50,2.096,0.0
2012,11,1,1,55,2.075,0.0
2012,11,1,2,0,2.072,0.0
2012,11,1,2,5,2.072,0.0
2012,11,1,2,10,2.081,0.0
2012,11,1,2,15,2.075,0.0
2012,11,1,2,20,2.053,0.0
2012,11,1,2,25,2.056,0.0
2012,11,1,2,30,2.075,0.0
2012,11,1,2,35,2.087,0.0
2012,11,1,2,40,2.105,0.0
2012,11,1,2,45,2.145,0.0
2012,11,1,2,50,2.1750000000000003,0.001
2012,11,1,2,55,2.1750000000000003,0.001
2012,11,1,3,0,2.1750000000000003,0.001
2012,11,1,3,5,2.169,0.0
2012,11,1,3,10,2.1510000000000002,0.0
2012,11,1,3,15,2.1630000000000003,0.0
2012,11,1,3,20,2.169,0.001
2012,11,1,3,25,2.145,0.0
2012,11,1,3,30,2.124,0.0
2012,11,1,3,35,2.124,0.0
2012,11,1,3,40,2.111,0.0
2012,11,1,3,45,2.12,0.0
2012,11,1,3,50,2.169,0.001
2012,11,1,3,55,2.206,0.003
2012,11,1,4,0,2.249,0.007
2012,11,1,4,5,2.285,0.009000000000000001
2012,11,1,4,10,2.31,0.011
2012,11,1,4,15,2.349,0.014
2012,11,1,4,20,2.4010000000000002,0.018000000000000002
2012,11,1,4,25,2.441,0.022
2012,11,1,4,30,2.462,0.023
2012,11,1,4,35,2.499,0.026000000000000002
2012,11,1,4,40,2.557,0.031
2012,11,1,4,45,2.661,0.039
2012,11,1,4,50,2.771,0.047
2012,11,1,4,55,2.844,0.053
2012,11,1,5,0,2.8770000000000002,0.055
2012,11,1,5,5,2.914,0.058
2012,11,1,5,10,2.975,0.063
2012,11,1,5,15,2.999,0.065
2012,11,1,5,20,2.996,0.065
2012,11,1,5,25,2.966,0.062
2012,11,1,5,30,2.944,0.061
2012,11,1,5,35,2.978,0.063
2012,11,1,5,40,3.048,0.069
2012,11,1,5,45,3.076,0.07100000000000001
2012,11,1,5,50,3.085,0.07100000000000001
2012,11,1,5,55,3.097,0.07200000000000001
2012,11,1,6,0,3.1550000000000002,0.077
2012,11,1,6,5,3.21,0.081
2012,11,1,6,10,3.186,0.079
2012,11,1,6,15,3.161,0.077
2012,11,1,6,20,3.189,0.079
2012,11,1,6,25,3.231,0.083
2012,11,1,6,30,3.216,0.082
2012,11,1,6,35,3.1550000000000002,0.077
2012,11,1,6,40,3.17,0.078
2012,11,1,6,45,3.216,0.082
2012,11,1,6,50,3.2560000000000002,0.097
2012,11,1,6,55,3.286,0.114
2012,11,1,7,0,3.3200000000000003,0.132
2012,11,1,7,5,3.36,0.154
2012,11,1,7,10,3.411,0.183
2012,11,1,7,15,3.475,0.218
2012,11,1,7,20,3.5460000000000003,0.257
2012,11,1,7,25,3.616,0.296
2012,11,1,7,30,3.72,0.353
2012,11,1,7,35,3.869,0.436
2012,11,1,7,40,4.0520000000000005,0.538
2012,11,1,7,45,4.229,0.636
2012,11,1,7,50,4.382,0.749
2012,11,1,7,55,4.531,0.884
2012,11,1,8,0,4.641,0.984
2012,11,1,8,5,4.672,1.0110000000000001
2012,11,1,8,10,4.644,0.986
2012,11,1,8,15,4.605,0.9500000000000001
2012,11,1,8,20,4.602,0.9470000000000001
2012,11,1,8,25,4.635,0.977
2012,11,1,8,30,4.635,0.977
