SiteID, 25464.0
Longitude, -99.525879
Latitude, 36.27972
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2012,11,1,0,0,6.71,3.331
2012,11,1,0,5,6.793,3.478
2012,11,1,0,10,6.958,3.773
2012,11,1,0,15,7.196,4.198
2012,11,1,0,20,7.431,4.617
2012,11,1,0,25,7.556,4.84
2012,11,1,0,30,7.513,4.763
2012,11,1,0,35,7.437,4.627
2012,11,1,0,40,7.449,4.648
2012,11,1,0,45,7.525,4.784
2012,11,1,0,50,7.641,4.9910000000000005
2012,11,1,0,55,7.782,5.316
2012,11,1,1,0,7.922000000000001,5.646
2012,11,1,1,5,8.084,6.026
2012,11,1,1,10,8.288,6.506
2012,11,1,1,15,8.471,6.937
2012,11,1,1,20,8.56,7.146
2012,11,1,1,25,8.67,7.404
2012,11,1,1,30,8.877,7.964
2012,11,1,1,35,9.121,8.665000000000001
2012,11,1,1,40,9.338000000000001,9.287
2012,11,1,1,45,9.506,9.77
2012,11,1,1,50,9.598,10.034
2012,11,1,1,55,9.698,10.324
2012,11,1,2,0,9.753,10.482000000000001
2012,11,1,2,5,9.72,10.385
2012,11,1,2,10,9.628,10.122
2012,11,1,2,15,9.573,9.964
2012,11,1,2,20,9.625,10.113
2012,11,1,2,25,9.771,10.534
2012,11,1,2,30,9.93,10.975
2012,11,1,2,35,10.016,11.207
2012,11,1,2,40,10.104000000000001,11.447000000000001
2012,11,1,2,45,10.226,11.777000000000001
2012,11,1,2,50,10.431000000000001,12.332
2012,11,1,2,55,10.66,12.955
2012,11,1,3,0,10.843,13.455
2012,11,1,3,5,10.983,13.776
2012,11,1,3,10,11.120000000000001,13.995000000000001
2012,11,1,3,15,11.285,14.258000000000001
2012,11,1,3,20,11.435,14.498000000000001
2012,11,1,3,25,11.496,14.595
2012,11,1,3,30,11.456,14.532
2012,11,1,3,35,11.392,14.43
2012,11,1,3,40,11.362,14.381
2012,11,1,3,45,11.362,14.381
2012,11,1,3,50,11.398,14.44
2012,11,1,3,55,11.481,14.572000000000001
2012,11,1,4,0,11.551,14.685
2012,11,1,4,5,11.566,14.711
2012,11,1,4,10,11.584,14.743
2012,11,1,4,15,11.648,14.847
2012,11,1,4,20,11.758000000000001,15.023
2012,11,1,4,25,11.841000000000001,15.156
2012,11,1,4,30,11.77,15.046000000000001
2012,11,1,4,35,11.56,14.713000000000001
2012,11,1,4,40,11.426,14.502
2012,11,1,4,45,11.371,14.418000000000001
2012,11,1,4,50,11.438,14.527000000000001
2012,11,1,4,55,11.523,14.663
2012,11,1,5,0,11.609,14.8
2012,11,1,5,5,11.652000000000001,14.868
2012,11,1,5,10,11.713000000000001,14.966000000000001
2012,11,1,5,15,11.755,15.033
2012,11,1,5,20,11.688,14.925
2012,11,1,5,25,11.493,14.615
2012,11,1,5,30,11.291,14.295
2012,11,1,5,35,11.181000000000001,14.121
2012,11,1,5,40,11.145,14.063
2012,11,1,5,45,11.19,14.135
2012,11,1,5,50,11.331,14.358
2012,11,1,5,55,11.538,14.687000000000001
2012,11,1,6,0,11.758000000000001,15.035
2012,11,1,6,5,11.962,15.358
2012,11,1,6,10,12.112,15.472
2012,11,1,6,15,12.206,15.513
2012,11,1,6,20,12.228,15.522
2012,11,1,6,25,12.249,15.531
2012,11,1,6,30,12.265,15.538
2012,11,1,6,35,12.286,15.547
2012,11,1,6,40,12.313,15.559000000000001
2012,11,1,6,45,12.356,15.578000000000001
2012,11,1,6,50,12.396,15.595
2012,11,1,6,55,12.445,15.617
2012,11,1,7,0,12.463000000000001,15.625
2012,11,1,7,5,12.381,15.589
2012,11,1,7,10,12.042,15.441
2012,11,1,7,15,11.252,14.233
2012,11,1,7,20,10.355,12.189
2012,11,1,7,25,10.003,11.232000000000001
2012,11,1,7,30,10.147,11.613
2012,11,1,7,35,10.113,11.516
2012,11,1,7,40,9.899000000000001,10.935
2012,11,1,7,45,9.741,10.495000000000001
2012,11,1,7,50,9.652000000000001,10.243
2012,11,1,7,55,9.619,10.149000000000001
2012,11,1,8,0,9.628,10.179
2012,11,1,8,5,9.64,10.22
2012,11,1,8,10,9.588000000000001,10.075000000000001
2012,11,1,8,15,9.362,9.427
2012,11,1,8,20,9.042,8.507
2012,11,1,8,25,8.749,7.666
2012,11,1,8,30,8.557,7.198
2012,11,1,8,35,8.459,6.971
2012,11,1,8,40,8.371,6.767
2012,11,1,8,45,8.236,6.457
2012,11,1,8,50,8.093,6.1240000000000006
2012,11,1,8,55,7.907,5.688
2012,11,1,9,0,7.687,5.171
2012,11,1,9,5,7.48,4.76
2012,11,1,9,10,7.327,4.489
2012,11,1,9,15,7.208,4.279
2012,11,1,9,20,7.107,4.101
2012,11,1,9,25,7.0280000000000005,3.9610000000000003
2012,11,1,9,30,6.942,3.81
2012,11,1,9,35,6.872,3.685
2012,11,1,9,40,6.8020000000000005,3.561
2012,11,1,9,45,6.756,3.481
2012,11,1,9,50,6.774,3.515
2012,11,1,9,55,6.799,3.561
2012,11,1,10,0,6.8020000000000005,3.568
2012,11,1,10,5,6.805,3.576
2012,11,1,10,10,6.811,3.589
2012,11,1,10,15,6.811,3.592
2012,11,1,10,20,6.79,3.556
2012,11,1,10,25,6.765000000000001,3.515
2012,11,1,10,30,6.744,3.479
2012,11,1,10,35,6.692,3.388
2012,11,1,10,40,6.591,3.209
2012,11,1,10,45,6.494,3.041
2012,11,1,10,50,6.381,2.895
2012,11,1,10,55,6.292,2.7800000000000002
2012,11,1,11,0,6.265000000000001,2.744
2012,11,1,11,5,6.271,2.7520000000000002
2012,11,1,11,10,6.277,2.759
2012,11,1,11,15,6.268,2.748
2012,11,1,11,20,6.2410000000000005,2.714
2012,11,1,11,25,6.213,2.6790000000000003
2012,11,1,11,30,6.207,2.672
2012,11,1,11,35,6.253,2.732
2012,11,1,11,40,6.317,2.815
2012,11,1,11,45,6.323,2.823
2012,11,1,11,50,6.271,2.757
2012,11,1,11,55,6.234,2.711
2012,11,1,12,0,6.265000000000001,2.751
2012,11,1,12,5,6.332,2.839
2012,11,1,12,10,6.405,2.934
2012,11,1,12,15,6.5120000000000005,3.08
2012,11,1,12,20,6.585,3.213
2012,11,1,12,25,6.582,3.208
