SiteID, 33028.0
Longitude, -98.285217
Latitude, 37.347809
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2012,11,1,0,0,3.442,0.196
2012,11,1,0,5,3.39,0.167
2012,11,1,0,10,3.35,0.145
2012,11,1,0,15,3.2920000000000003,0.113
2012,11,1,0,20,3.225,0.082
2012,11,1,0,25,3.106,0.073
2012,11,1,0,30,2.978,0.063
2012,11,1,0,35,2.871,0.055
2012,11,1,0,40,2.798,0.049
2012,11,1,0,45,2.7920000000000003,0.048
2012,11,1,0,50,2.865,0.054
2012,11,1,0,55,2.99,0.064
2012,11,1,1,0,3.094,0.07200000000000001
2012,11,1,1,5,3.186,0.079
2012,11,1,1,10,3.2560000000000002,0.094
2012,11,1,1,15,3.298,0.117
2012,11,1,1,20,3.329,0.134
2012,11,1,1,25,3.341,0.14
2012,11,1,1,30,3.311,0.123
2012,11,1,1,35,3.259,0.094
2012,11,1,1,40,3.1670000000000003,0.077
2012,11,1,1,45,3.057,0.069
2012,11,1,1,50,2.978,0.063
2012,11,1,1,55,2.954,0.061
2012,11,1,2,0,2.935,0.059000000000000004
2012,11,1,2,5,2.902,0.057
2012,11,1,2,10,2.862,0.054
2012,11,1,2,15,2.868,0.054
2012,11,1,2,20,2.9050000000000002,0.057
2012,11,1,2,25,2.9290000000000003,0.059000000000000004
2012,11,1,2,30,2.96,0.061
2012,11,1,2,35,3.0020000000000002,0.064
2012,11,1,2,40,3.085,0.07100000000000001
2012,11,1,2,45,3.164,0.077
2012,11,1,2,50,3.21,0.08
2012,11,1,2,55,3.204,0.08
2012,11,1,3,0,3.182,0.078
2012,11,1,3,5,3.182,0.078
2012,11,1,3,10,3.216,0.081
2012,11,1,3,15,3.228,0.082
2012,11,1,3,20,3.198,0.08
2012,11,1,3,25,3.1550000000000002,0.076
2012,11,1,3,30,3.124,0.074
2012,11,1,3,35,3.112,0.073
2012,11,1,3,40,3.112,0.073
2012,11,1,3,45,3.088,0.07100000000000001
2012,11,1,3,50,3.079,0.07
2012,11,1,3,55,3.118,0.073
2012,11,1,4,0,3.192,0.079
2012,11,1,4,5,3.277,0.10400000000000001
2012,11,1,4,10,3.335,0.136
2012,11,1,4,15,3.378,0.16
2012,11,1,4,20,3.4330000000000003,0.19
2012,11,1,4,25,3.46,0.20500000000000002
2012,11,1,4,30,3.46,0.20500000000000002
2012,11,1,4,35,3.488,0.221
2012,11,1,4,40,3.533,0.246
2012,11,1,4,45,3.552,0.256
2012,11,1,4,50,3.579,0.271
2012,11,1,4,55,3.594,0.28
2012,11,1,5,0,3.616,0.292
2012,11,1,5,5,3.637,0.304
2012,11,1,5,10,3.64,0.305
2012,11,1,5,15,3.634,0.302
2012,11,1,5,20,3.598,0.28200000000000003
2012,11,1,5,25,3.564,0.263
2012,11,1,5,30,3.54,0.25
2012,11,1,5,35,3.552,0.257
2012,11,1,5,40,3.588,0.277
2012,11,1,5,45,3.6710000000000003,0.322
2012,11,1,5,50,3.775,0.38
2012,11,1,5,55,3.863,0.429
2012,11,1,6,0,3.887,0.442
2012,11,1,6,5,3.829,0.41100000000000003
2012,11,1,6,10,3.713,0.34700000000000003
2012,11,1,6,15,3.634,0.303
2012,11,1,6,20,3.652,0.313
2012,11,1,6,25,3.735,0.359
2012,11,1,6,30,3.7840000000000003,0.385
2012,11,1,6,35,3.765,0.375
2012,11,1,6,40,3.713,0.34600000000000003
2012,11,1,6,45,3.665,0.319
2012,11,1,6,50,3.637,0.304
2012,11,1,6,55,3.604,0.28600000000000003
2012,11,1,7,0,3.573,0.269
2012,11,1,7,5,3.561,0.263
2012,11,1,7,10,3.5820000000000003,0.274
2012,11,1,7,15,3.585,0.276
2012,11,1,7,20,3.588,0.278
2012,11,1,7,25,3.625,0.298
2012,11,1,7,30,3.6950000000000003,0.337
2012,11,1,7,35,3.781,0.384
2012,11,1,7,40,3.848,0.421
2012,11,1,7,45,3.848,0.422
2012,11,1,7,50,3.787,0.388
2012,11,1,7,55,3.735,0.359
2012,11,1,8,0,3.741,0.363
2012,11,1,8,5,3.799,0.395
2012,11,1,8,10,3.872,0.436
2012,11,1,8,15,3.958,0.483
2012,11,1,8,20,4.034,0.525
2012,11,1,8,25,4.132,0.579
2012,11,1,8,30,4.235,0.637
2012,11,1,8,35,4.3180000000000005,0.687
2012,11,1,8,40,4.333,0.7010000000000001
2012,11,1,8,45,4.306,0.676
2012,11,1,8,50,4.284,0.665
2012,11,1,8,55,4.263,0.653
2012,11,1,9,0,4.223,0.631
2012,11,1,9,5,4.1930000000000005,0.614
2012,11,1,9,10,4.1770000000000005,0.605
2012,11,1,9,15,4.1770000000000005,0.605
2012,11,1,9,20,4.125,0.577
2012,11,1,9,25,4.074,0.548
2012,11,1,9,30,4.009,0.513
2012,11,1,9,35,3.936,0.47200000000000003
2012,11,1,9,40,3.903,0.454
2012,11,1,9,45,3.918,0.462
2012,11,1,9,50,3.955,0.482
2012,11,1,9,55,3.991,0.503
2012,11,1,10,0,3.994,0.504
2012,11,1,10,5,3.955,0.483
2012,11,1,10,10,3.9090000000000003,0.458
2012,11,1,10,15,3.884,0.444
2012,11,1,10,20,3.8970000000000002,0.451
2012,11,1,10,25,3.9610000000000003,0.487
2012,11,1,10,30,4.031,0.526
2012,11,1,10,35,4.067,0.546
2012,11,1,10,40,4.074,0.55
2012,11,1,10,45,4.11,0.5700000000000001
2012,11,1,10,50,4.19,0.614
2012,11,1,10,55,4.235,0.64
2012,11,1,11,0,4.251,0.648
2012,11,1,11,5,4.214,0.628
2012,11,1,11,10,4.162,0.6
2012,11,1,11,15,4.122,0.578
2012,11,1,11,20,4.098,0.5640000000000001
2012,11,1,11,25,4.1530000000000005,0.595
2012,11,1,11,30,4.238,0.642
2012,11,1,11,35,4.29,0.67
2012,11,1,11,40,4.305,0.681
2012,11,1,11,45,4.315,0.6890000000000001
2012,11,1,11,50,4.3020000000000005,0.678
2012,11,1,11,55,4.284,0.667
2012,11,1,12,0,4.266,0.657
