SiteID, 27008.0
Longitude, -101.392792
Latitude, 36.472313
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2012,11,1,0,0,5.2700000000000005,1.419
2012,11,1,0,5,5.234,1.387
2012,11,1,0,10,5.277,1.425
2012,11,1,0,15,5.408,1.541
2012,11,1,0,20,5.597,1.734
2012,11,1,0,25,5.838,2.04
2012,11,1,0,30,6.07,2.334
2012,11,1,0,35,6.2410000000000005,2.551
2012,11,1,0,40,6.372,2.718
2012,11,1,0,45,6.454,2.823
2012,11,1,0,50,6.503,2.8850000000000002
2012,11,1,0,55,6.5520000000000005,2.948
2012,11,1,1,0,6.647,3.074
2012,11,1,1,5,6.8420000000000005,3.42
2012,11,1,1,10,7.123,3.915
2012,11,1,1,15,7.361,4.3340000000000005
2012,11,1,1,20,7.47,4.5280000000000005
2012,11,1,1,25,7.492,4.566
2012,11,1,1,30,7.4670000000000005,4.523
2012,11,1,1,35,7.413,4.4270000000000005
2012,11,1,1,40,7.367,4.348
2012,11,1,1,45,7.345,4.311
2012,11,1,1,50,7.3180000000000005,4.263
2012,11,1,1,55,7.2330000000000005,4.112
2012,11,1,2,0,7.111,3.8970000000000002
2012,11,1,2,5,6.97,3.6510000000000002
2012,11,1,2,10,6.882000000000001,3.496
2012,11,1,2,15,6.833,3.41
2012,11,1,2,20,6.756,3.2760000000000002
2012,11,1,2,25,6.692,3.164
2012,11,1,2,30,6.68,3.1430000000000002
2012,11,1,2,35,6.698,3.176
2012,11,1,2,40,6.68,3.144
2012,11,1,2,45,6.656000000000001,3.102
2012,11,1,2,50,6.656000000000001,3.103
2012,11,1,2,55,6.68,3.1470000000000002
2012,11,1,3,0,6.72,3.217
2012,11,1,3,5,6.784,3.331
2012,11,1,3,10,6.836,3.423
2012,11,1,3,15,6.863,3.472
2012,11,1,3,20,6.882000000000001,3.505
2012,11,1,3,25,6.9030000000000005,3.541
2012,11,1,3,30,6.890000000000001,3.519
2012,11,1,3,35,6.746,3.2680000000000002
2012,11,1,3,40,6.319,2.67
2012,11,1,3,45,5.44,1.588
2012,11,1,3,50,4.406,0.679
2012,11,1,3,55,3.952,0.433
2012,11,1,4,0,4.095,0.51
2012,11,1,4,5,4.352,0.648
2012,11,1,4,10,4.3420000000000005,0.643
2012,11,1,4,15,4.16,0.546
2012,11,1,4,20,4.315,0.631
2012,11,1,4,25,4.807,1.037
2012,11,1,4,30,5.176,1.363
2012,11,1,4,35,5.402,1.563
2012,11,1,4,40,5.621,1.804
2012,11,1,4,45,5.771,1.992
2012,11,1,4,50,5.789,2.013
2012,11,1,4,55,5.716,1.9180000000000001
2012,11,1,5,0,5.569,1.73
2012,11,1,5,5,5.4110000000000005,1.565
2012,11,1,5,10,5.24,1.414
2012,11,1,5,15,5.075,1.268
2012,11,1,5,20,4.941,1.1500000000000001
2012,11,1,5,25,4.843,1.064
2012,11,1,5,30,4.803,1.029
2012,11,1,5,35,4.73,0.964
2012,11,1,5,40,4.596,0.847
2012,11,1,5,45,4.446,0.716
2012,11,1,5,50,4.345,0.647
2012,11,1,5,55,4.272,0.608
2012,11,1,6,0,4.208,0.5750000000000001
2012,11,1,6,5,4.159,0.549
2012,11,1,6,10,4.126,0.532
2012,11,1,6,15,4.083,0.51
2012,11,1,6,20,3.979,0.454
2012,11,1,6,25,3.848,0.383
2012,11,1,6,30,3.753,0.332
2012,11,1,6,35,3.701,0.304
2012,11,1,6,40,3.628,0.264
2012,11,1,6,45,3.503,0.197
2012,11,1,6,50,3.341,0.11
2012,11,1,6,55,3.216,0.077
2012,11,1,7,0,3.152,0.07200000000000001
2012,11,1,7,5,3.149,0.07200000000000001
2012,11,1,7,10,3.176,0.074
2012,11,1,7,15,3.24,0.079
2012,11,1,7,20,3.283,0.082
2012,11,1,7,25,3.2800000000000002,0.082
2012,11,1,7,30,3.247,0.08
2012,11,1,7,35,3.1950000000000003,0.076
2012,11,1,7,40,3.094,0.068
2012,11,1,7,45,2.963,0.058
2012,11,1,7,50,2.847,0.049
2012,11,1,7,55,2.7520000000000002,0.042
2012,11,1,8,0,2.71,0.039
2012,11,1,8,5,2.694,0.038
2012,11,1,8,10,2.704,0.039
2012,11,1,8,15,2.701,0.038
2012,11,1,8,20,2.716,0.039
