Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2012,11,1,0,0,6.869,2.5140000000000002
2012,11,1,0,5,7.1160000000000005,2.835
2012,11,1,0,10,7.3790000000000004,3.1750000000000003
2012,11,1,0,15,7.611,3.476
2012,11,1,0,20,7.843,3.793
2012,11,1,0,25,8.078,4.198
2012,11,1,0,30,8.288,4.5600000000000005
2012,11,1,0,35,8.416,4.782
2012,11,1,0,40,8.471,4.878
2012,11,1,0,45,8.432,4.812
2012,11,1,0,50,8.291,4.573
2012,11,1,0,55,8.096,4.24
2012,11,1,1,0,7.916,3.934
2012,11,1,1,5,7.791,3.724
2012,11,1,1,10,7.696,3.604
2012,11,1,1,15,7.675,3.579
2012,11,1,1,20,7.785,3.723
2012,11,1,1,25,7.965,4.032
2012,11,1,1,30,8.13,4.316
2012,11,1,1,35,8.218,4.468
2012,11,1,1,40,8.264,4.546
2012,11,1,1,45,8.313,4.627
2012,11,1,1,50,8.392,4.761
2012,11,1,1,55,8.468,4.89
2012,11,1,2,0,8.514,4.9670000000000005
2012,11,1,2,5,8.581,5.082
2012,11,1,2,10,8.688,5.265
2012,11,1,2,15,8.767,5.401
2012,11,1,2,20,8.789,5.437
2012,11,1,2,25,8.767,5.399
2012,11,1,2,30,8.706,5.2940000000000005
2012,11,1,2,35,8.642,5.183
2012,11,1,2,40,8.63,5.163
2012,11,1,2,45,8.642,5.184
2012,11,1,2,50,8.661,5.216
2012,11,1,2,55,8.688,5.263
2012,11,1,3,0,8.731,5.337
2012,11,1,3,5,8.774000000000001,5.41
2012,11,1,3,10,8.822000000000001,5.494
2012,11,1,3,15,8.896,5.621
2012,11,1,3,20,9.07,5.9910000000000005
2012,11,1,3,25,9.335,6.565
2012,11,1,3,30,9.674,7.296
2012,11,1,3,35,9.97,7.9350000000000005
2012,11,1,3,40,10.074,8.177
2012,11,1,3,45,10.074,8.178
2012,11,1,3,50,10.113,8.277000000000001
2012,11,1,3,55,10.290000000000001,8.713000000000001
2012,11,1,4,0,10.571,9.401
2012,11,1,4,5,10.895,10.195
2012,11,1,4,10,11.181000000000001,10.889
2012,11,1,4,15,11.301,11.157
2012,11,1,4,20,11.313,11.187
2012,11,1,4,25,11.374,11.325000000000001
2012,11,1,4,30,11.496,11.599
2012,11,1,4,35,11.676,12.003
2012,11,1,4,40,11.902000000000001,12.51
2012,11,1,4,45,12.1,12.955
2012,11,1,4,50,12.25,13.280000000000001
2012,11,1,4,55,12.414,13.514000000000001
2012,11,1,5,0,12.555,13.714
2012,11,1,5,5,12.671000000000001,13.88
2012,11,1,5,10,12.796000000000001,14.059000000000001
2012,11,1,5,15,12.866,14.161
2012,11,1,5,20,12.93,14.253
2012,11,1,5,25,13.049,14.421000000000001
2012,11,1,5,30,13.171000000000001,14.593
2012,11,1,5,35,13.275,14.739
2012,11,1,5,40,13.379,14.854000000000001
2012,11,1,5,45,13.495000000000001,14.939
2012,11,1,5,50,13.617,15.028
2012,11,1,5,55,13.708,15.095
2012,11,1,6,0,13.769,15.14
2012,11,1,6,5,13.803,15.166
2012,11,1,6,10,13.843,15.196
2012,11,1,6,15,13.916,15.251
2012,11,1,6,20,13.983,15.301
2012,11,1,6,25,14.017,15.326
2012,11,1,6,30,14.032,15.338000000000001
2012,11,1,6,35,14.062000000000001,15.361
2012,11,1,6,40,14.123000000000001,15.406
2012,11,1,6,45,14.209,15.469000000000001
2012,11,1,6,50,14.27,15.515
2012,11,1,6,55,14.285,15.527000000000001
2012,11,1,7,0,14.343,15.569
2012,11,1,7,5,14.413,15.621
2012,11,1,7,10,14.456,15.643
